date,Affordable housing,City-financed homeless unit,Family or friends,Medical care or rehabilitation facility,NYCHA,Other,Private market,Rapid re-housing,Supportive housing,Transitional housing,Unknown,Voucher
2023-03-01,0,15,94,40,0,514,68,0,135,0,2514,380
2023-04-01,0,50,183,37,40,588,96,0,149,0,2707,770
2023-05-01,0,28,203,44,33,1010,98,0,132,0,3222,817
2023-06-01,0,49,157,40,64,1238,107,0,116,0,2634,723
2023-07-01,0,37,216,50,41,1055,122,0,111,0,2791,719
2023-08-01,0,19,267,35,29,2316,179,0,154,0,2916,728
2023-09-01,0,44,194,40,35,224,167,0,146,0,2566,611
2023-10-01,0,28,214,38,58,704,131,0,147,0,2882,774
2023-11-01,0,23,215,46,32,176,113,0,0,0,2780,723
2023-12-01,0,0,224,48,42,809,184,0,182,0,2895,826
2024-01-01,0,0,250,36,44,988,184,0,173,0,2642,850
2024-02-01,0,40,194,40,38,933,138,0,183,0,2383,759
2024-03-01,0,16,221,62,43,232,136,0,217,0,2533,971
2024-04-01,0,28,236,46,44,615,135,0,143,0,2542,999
2024-05-01,0,38,190,50,57,545,130,0,152,0,2675,1244
2024-06-01,0,0,223,36,58,280,129,0,136,0,2447,1071
2024-07-01,0,0,229,55,73,791,147,0,128,0,2702,932
2024-08-01,0,21,233,52,79,293,158,0,135,0,2694,979
2024-09-01,0,0,211,43,82,316,155,0,139,0,2466,1102
2024-10-01,0,11,160,0,91,224,100,0,34,0,382,507
